id	position	name	GSM2522670
B01R06C09	1-9-6	Hs~Ref:NM_002880.1~uORF:IOH10773	796
B01R06C10	1-10-6	Hs~Ref:NM_002880.1~uORF:IOH10773	800
B01R06C11	1-11-6	Hs~Ref:NM_001280.1~uORF:IOH2905	1200
B01R06C12	1-12-6	Hs~Ref:NM_001280.1~uORF:IOH2905	850
B01R06C13	1-13-6	Hs~MGC:BC001304.1~uORF:IOH3065	219
B01R06C14	1-14-6	Hs~MGC:BC001304.1~uORF:IOH3065	16
B01R06C15	1-15-6	Hs~MGC:BC009048.1~uORF:IOH3342	444
B01R06C16	1-16-6	Hs~MGC:BC009048.1~uORF:IOH3342	456
B01R06C17	1-17-6	Hs~Ref:NM_014713.2~uORF:IOH3687	187
B01R06C18	1-18-6	Hs~Ref:NM_014713.2~uORF:IOH3687	464
B01R06C19	1-19-6	Hs~Ref:NM_005402.1~uORF:IOH26207	218
B01R06C20	1-20-6	Hs~Ref:NM_005402.1~uORF:IOH26207	236
B01R06C21	1-21-6	Hs~MGC:BC044587.1~uORF:IOH26741	194
B01R06C22	1-22-6	Hs~MGC:BC044587.1~uORF:IOH26741	203
B01R07C01	1-1-7	Hs~MGC:BC048099.1~uORF:IOH26742	649
B01R07C02	1-2-7	Hs~MGC:BC048099.1~uORF:IOH26742	722
B01R07C03	1-3-7	Hs~MGC:BC040036.1~uORF:IOH26343	111
B01R07C04	1-4-7	Hs~MGC:BC040036.1~uORF:IOH26343	343
B01R07C05	1-5-7	Hs~MGC:BC005955.1~uORF:IOH7485	557
B01R07C06	1-6-7	Hs~MGC:BC005955.1~uORF:IOH7485	690
B01R07C07	1-7-7	Hs~MGC:BC035217.1~uORF:IOH26791	322
B01R07C08	1-8-7	Hs~MGC:BC035217.1~uORF:IOH26791	305
B01R07C09	1-9-7	Hs~MGC:BC028366.1~uORF:IOH22335	456
B01R07C10	1-10-7	Hs~MGC:BC028366.1~uORF:IOH22335	523
B01R07C11	1-11-7	Hs~MGC:BC035492.1~uORF:IOH25729	962
B01R07C12	1-12-7	Hs~MGC:BC035492.1~uORF:IOH25729	174
B01R07C13	1-13-7	Hs~Ref:XM_374188.3~uORF:IOH44541	667
B01R07C14	1-14-7	Hs~Ref:XM_374188.3~uORF:IOH44541	32
B01R07C15	1-15-7	Hs~Ref:NM_174925.1~uORF:IOH43618	587
B01R07C16	1-16-7	Hs~Ref:NM_174925.1~uORF:IOH43618	669
B01R07C17	1-17-7	Hs~Ref:NM_138640.1~uORF:IOH40942	727
B01R07C18	1-18-7	Hs~Ref:NM_138640.1~uORF:IOH40942	758
B01R07C19	1-19-7	Hs~Ref:NM_172014.1~uORF:IOH44426	773
B01R07C20	1-20-7	Hs~Ref:NM_172014.1~uORF:IOH44426	709
B01R07C21	1-21-7	Hs~MGC:BC000691.1~uORF:IOH4341	790
B01R07C22	1-22-7	Hs~MGC:BC000691.1~uORF:IOH4341	840
B01R08C01	1-1-8	Hs~Ref:NM_012117.1~uORF:IOH3162	1083
B01R08C02	1-2-8	Hs~Ref:NM_012117.1~uORF:IOH3162	1007
B01R08C03	1-3-8	Hs~Ref:NM_025133.3~uORF:IOH44015	0
B01R08C04	1-4-8	Hs~Ref:NM_025133.3~uORF:IOH44015	286
B01R08C05	1-5-8	Hs~Ref:NM_002346.1~uORF:IOH42082	1322
B01R08C06	1-6-8	Hs~Ref:NM_002346.1~uORF:IOH42082	310
B01R08C07	1-7-8	Hs~MGC:BC019247.1~uORF:IOH11023	354
B01R08C08	1-8-8	Hs~MGC:BC019247.1~uORF:IOH11023	390
B01R08C09	1-9-8	Hs~Ref:NM_014214.1~uORF:IOH13690	440
B01R08C10	1-10-8	Hs~Ref:NM_014214.1~uORF:IOH13690	434
B01R08C11	1-11-8	Hs~Ref:NM_015343.1~uORF:IOH12711	229
B01R08C12	1-12-8	Hs~Ref:NM_015343.1~uORF:IOH12711	274
B01R08C13	1-13-8	Hs~Ref:NM_032929.1~uORF:IOH7540	9699
B01R08C14	1-14-8	Hs~Ref:NM_032929.1~uORF:IOH7540	8145
B01R08C15	1-15-8	Hs~MGC:BC037311.1~uORF:IOH27689	639
B01R08C16	1-16-8	Hs~MGC:BC037311.1~uORF:IOH27689	642
B01R08C17	1-17-8	Hs~MGC:BC042848.1~uORF:IOH27665	220
B01R08C18	1-18-8	Hs~MGC:BC042848.1~uORF:IOH27665	163
B01R08C19	1-19-8	Hs~Ref:NM_002884.1~uORF:IOH14475	182
B01R08C20	1-20-8	Hs~Ref:NM_002884.1~uORF:IOH14475	154
B01R08C21	1-21-8	Hs~MGC:BC024004.1~uORF:IOH11309	494
B01R08C22	1-22-8	Hs~MGC:BC024004.1~uORF:IOH11309	510
B01R09C01	1-1-9	Hs~Ref:NM_014420.2~uORF:IOH35309	560
B01R09C02	1-2-9	Hs~Ref:NM_014420.2~uORF:IOH35309	600
B01R09C03	1-3-9	Hs~Ref:NM_025057.1~uORF:IOH35314	433
B01R09C04	1-4-9	Hs~Ref:NM_025057.1~uORF:IOH35314	397
B01R09C05	1-5-9	Hs~Ref:NM_002169.1~uORF:IOH35227	597
B01R09C06	1-6-9	Hs~Ref:NM_002169.1~uORF:IOH35227	509
B01R09C07	1-7-9	Hs~Ref:NM_022573.1~uORF:IOH35467	206
B01R09C08	1-8-9	Hs~Ref:NM_022573.1~uORF:IOH35467	263
B01R09C09	1-9-9	Hs~Ref:NM_006749.2~uORF:IOH11684	68
B01R09C10	1-10-9	Hs~Ref:NM_006749.2~uORF:IOH11684	63
B01R09C11	1-11-9	Hs~MGC:BC027911.1~uORF:IOH11846	279
B01R09C12	1-12-9	Hs~MGC:BC027911.1~uORF:IOH11846	351
B01R09C13	1-13-9	Hs~MGC:BC021861.1~uORF:IOH11917	103
B01R09C14	1-14-9	Hs~MGC:BC021861.1~uORF:IOH11917	123
B01R09C15	1-15-9	Hs~Ref:NM_022091.2~uORF:IOH27060	16
B01R09C16	1-16-9	Hs~Ref:NM_022091.2~uORF:IOH27060	730
B01R09C17	1-17-9	Hs~MGC:BC036422.1~uORF:IOH27623	273
B01R09C18	1-18-9	Hs~MGC:BC036422.1~uORF:IOH27623	377
B01R09C19	1-19-9	Hs~MGC:BC055314.1~uORF:IOH29446	1676
B01R09C20	1-20-9	Hs~MGC:BC055314.1~uORF:IOH29446	1542
B01R09C21	1-21-9	Hs~MGC:BC051300.1~uORF:IOH29358	184
B01R09C22	1-22-9	Hs~MGC:BC051300.1~uORF:IOH29358	272
B01R10C01	1-1-10	Hs~MGC:BC014889.1~uORF:IOH10017	323
B01R10C02	1-2-10	Hs~MGC:BC014889.1~uORF:IOH10017	320
B01R10C03	1-3-10	Hs~MGC:BC007009.1~uORF:IOH7191	536
B01R10C04	1-4-10	Hs~MGC:BC007009.1~uORF:IOH7191	438
B01R10C05	1-5-10	Hs~Ref:NM_002539.1~uORF:IOH14694	379
B01R10C06	1-6-10	Hs~Ref:NM_002539.1~uORF:IOH14694	355
B01R10C07	1-7-10	Hs~MGC:BC012575.1~uORF:IOH12167	315
B01R10C08	1-8-10	Hs~MGC:BC012575.1~uORF:IOH12167	277
B01R10C09	1-9-10	Hs~MGC:NM_171998.1~uORF:IOH9931	330
B01R10C10	1-10-10	Hs~MGC:NM_171998.1~uORF:IOH9931	322
B01R10C11	1-11-10	GST1	2
B01R10C12	1-12-10	GST1	61
B01R10C13	1-13-10	GST2	6
B01R10C14	1-14-10	GST2	4
B01R10C15	1-15-10	GST3	2
B01R10C16	1-16-10	GST3	8
B01R10C17	1-17-10	GST4	14
B01R10C18	1-18-10	GST4	15
B01R10C19	1-19-10	Anti-HumanIgA1~N/A	9451
B01R10C20	1-20-10	Anti-HumanIgA1~N/A	9327
B01R10C21	1-21-10	Anti-HumanIgA2~N/A	17997
B01R10C22	1-22-10	Anti-HumanIgA2~N/A	18490
B01R11C01	1-1-11	AlexaAntiMouseAb~N/A	26150
B01R11C02	1-2-11	AlexaAntiMouseAb~N/A	27135
B01R11C03	1-3-11	MAPKAP~N/A	40
B01R11C04	1-4-11	MAPKAP~N/A	10
B01R11C05	1-5-11	Buffer	3
B01R11C06	1-6-11	Buffer	-11
B01R11C07	1-7-11	BSA~N/A	8992
B01R11C08	1-8-11	BSA~N/A	8687
B01R11C09	1-9-11	Anti-HumanIgG1~N/A	1562
B01R11C10	1-10-11	Anti-HumanIgG1~N/A	1672
B01R11C11	1-11-11	Anti-HumanIgG2~N/A	2918
B01R11C12	1-12-11	Anti-HumanIgG2~N/A	2981
B01R11C13	1-13-11	Anti-HumanIgG3~N/A	6015
B01R11C14	1-14-11	Anti-HumanIgG3~N/A	7007
B01R11C15	1-15-11	Anti-HumanIgG4~N/A	12398
B01R11C16	1-16-11	Anti-HumanIgG4~N/A	13514
B01R11C17	1-17-11	AntiBiotinAb~N/A	13374
B01R11C18	1-18-11	AntiBiotinAb~N/A	13130
B01R11C19	1-19-11	Buffer	-3
B01R11C20	1-20-11	Buffer	12
B01R11C21	1-21-11	Hs~MGC:BC035314.1~uORF:IOH22146	383
B01R11C22	1-22-11	Hs~MGC:BC035314.1~uORF:IOH22146	327
