id	position	name	F635 Median	B635 Median	Intensity
B01R06C21	1-21-6	Hs~MGC:BC044587.1~uORF:IOH26741	269	75	194
B01R06C22	1-22-6	Hs~MGC:BC044587.1~uORF:IOH26741	258	55	203
B01R07C01	1-1-7	Hs~MGC:BC048099.1~uORF:IOH26742	684	35	649
B01R07C02	1-2-7	Hs~MGC:BC048099.1~uORF:IOH26742	758	36	722
B01R07C03	1-3-7	Hs~MGC:BC040036.1~uORF:IOH26343	153	42	111
B01R07C04	1-4-7	Hs~MGC:BC040036.1~uORF:IOH26343	408	65	343
B01R07C05	1-5-7	Hs~MGC:BC005955.1~uORF:IOH7485	596	39	557
B01R07C06	1-6-7	Hs~MGC:BC005955.1~uORF:IOH7485	725	35	690
B01R07C07	1-7-7	Hs~MGC:BC035217.1~uORF:IOH26791	359	37	322
B01R07C08	1-8-7	Hs~MGC:BC035217.1~uORF:IOH26791	345	40	305
B01R07C09	1-9-7	Hs~MGC:BC028366.1~uORF:IOH22335	494	38	456
B01R07C10	1-10-7	Hs~MGC:BC028366.1~uORF:IOH22335	559	36	523
B01R07C11	1-11-7	Hs~MGC:BC035492.1~uORF:IOH25729	1031	69	962
B01R07C12	1-12-7	Hs~MGC:BC035492.1~uORF:IOH25729	228	54	174
B01R07C13	1-13-7	Hs~Ref:XM_374188.3~uORF:IOH44541	735	68	667
B01R07C14	1-14-7	Hs~Ref:XM_374188.3~uORF:IOH44541	103	71	32
B01R07C15	1-15-7	Hs~Ref:NM_174925.1~uORF:IOH43618	643	56	587
B01R07C16	1-16-7	Hs~Ref:NM_174925.1~uORF:IOH43618	754	85	669
B01R07C17	1-17-7	Hs~Ref:NM_138640.1~uORF:IOH40942	810	83	727
B01R07C18	1-18-7	Hs~Ref:NM_138640.1~uORF:IOH40942	824	66	758
B01R07C19	1-19-7	Hs~Ref:NM_172014.1~uORF:IOH44426	831	58	773
B01R07C20	1-20-7	Hs~Ref:NM_172014.1~uORF:IOH44426	764	55	709
B01R07C21	1-21-7	Hs~MGC:BC000691.1~uORF:IOH4341	842	52	790
B01R07C22	1-22-7	Hs~MGC:BC000691.1~uORF:IOH4341	890	50	840
B01R08C01	1-1-8	Hs~Ref:NM_012117.1~uORF:IOH3162	1119	36	1083
B01R08C02	1-2-8	Hs~Ref:NM_012117.1~uORF:IOH3162	1046	39	1007
B01R08C03	1-3-8	Hs~Ref:NM_025133.3~uORF:IOH44015	50	50	0
B01R08C04	1-4-8	Hs~Ref:NM_025133.3~uORF:IOH44015	785	499	286
B01R08C05	1-5-8	Hs~Ref:NM_002346.1~uORF:IOH42082	1380	58	1322
B01R08C06	1-6-8	Hs~Ref:NM_002346.1~uORF:IOH42082	347	37	310
B01R08C07	1-7-8	Hs~MGC:BC019247.1~uORF:IOH11023	391	37	354
B01R08C08	1-8-8	Hs~MGC:BC019247.1~uORF:IOH11023	430	40	390
B01R08C09	1-9-8	Hs~Ref:NM_014214.1~uORF:IOH13690	476	36	440
B01R08C10	1-10-8	Hs~Ref:NM_014214.1~uORF:IOH13690	470	36	434
B01R08C11	1-11-8	Hs~Ref:NM_015343.1~uORF:IOH12711	273	44	229
B01R08C12	1-12-8	Hs~Ref:NM_015343.1~uORF:IOH12711	341	67	274
B01R08C13	1-13-8	Hs~Ref:NM_032929.1~uORF:IOH7540	9761	62	9699
B01R08C14	1-14-8	Hs~Ref:NM_032929.1~uORF:IOH7540	8202	57	8145
B01R08C15	1-15-8	Hs~MGC:BC037311.1~uORF:IOH27689	692	53	639
B01R08C16	1-16-8	Hs~MGC:BC037311.1~uORF:IOH27689	694	52	642
B01R08C17	1-17-8	Hs~MGC:BC042848.1~uORF:IOH27665	278	58	220
B01R08C18	1-18-8	Hs~MGC:BC042848.1~uORF:IOH27665	216	53	163
B01R08C19	1-19-8	Hs~Ref:NM_002884.1~uORF:IOH14475	242	60	182
B01R08C20	1-20-8	Hs~Ref:NM_002884.1~uORF:IOH14475	267	113	154
B01R08C21	1-21-8	Hs~MGC:BC024004.1~uORF:IOH11309	548	54	494
B01R08C22	1-22-8	Hs~MGC:BC024004.1~uORF:IOH11309	563	53	510
B01R09C01	1-1-9	Hs~Ref:NM_014420.2~uORF:IOH35309	596	36	560
B01R09C02	1-2-9	Hs~Ref:NM_014420.2~uORF:IOH35309	638	38	600
B01R09C03	1-3-9	Hs~Ref:NM_025057.1~uORF:IOH35314	507	74	433
B01R09C04	1-4-9	Hs~Ref:NM_025057.1~uORF:IOH35314	450	53	397
B01R09C05	1-5-9	Hs~Ref:NM_002169.1~uORF:IOH35227	639	42	597
B01R09C06	1-6-9	Hs~Ref:NM_002169.1~uORF:IOH35227	573	64	509
B01R09C07	1-7-9	Hs~Ref:NM_022573.1~uORF:IOH35467	325	119	206
B01R09C08	1-8-9	Hs~Ref:NM_022573.1~uORF:IOH35467	328	65	263
B01R09C09	1-9-9	Hs~Ref:NM_006749.2~uORF:IOH11684	113	45	68
B01R09C10	1-10-9	Hs~Ref:NM_006749.2~uORF:IOH11684	145	82	63
B01R09C11	1-11-9	Hs~MGC:BC027911.1~uORF:IOH11846	409	130	279
B01R09C12	1-12-9	Hs~MGC:BC027911.1~uORF:IOH11846	399	48	351
B01R09C13	1-13-9	Hs~MGC:BC021861.1~uORF:IOH11917	151	48	103
B01R09C14	1-14-9	Hs~MGC:BC021861.1~uORF:IOH11917	171	48	123
B01R09C15	1-15-9	Hs~Ref:NM_022091.2~uORF:IOH27060	69	53	16
B01R09C16	1-16-9	Hs~Ref:NM_022091.2~uORF:IOH27060	781	51	730
B01R09C17	1-17-9	Hs~MGC:BC036422.1~uORF:IOH27623	329	56	273
B01R09C18	1-18-9	Hs~MGC:BC036422.1~uORF:IOH27623	431	54	377
B01R09C19	1-19-9	Hs~MGC:BC055314.1~uORF:IOH29446	1730	54	1676
B01R09C20	1-20-9	Hs~MGC:BC055314.1~uORF:IOH29446	1598	56	1542
B01R09C21	1-21-9	Hs~MGC:BC051300.1~uORF:IOH29358	240	56	184
B01R09C22	1-22-9	Hs~MGC:BC051300.1~uORF:IOH29358	347	75	272
B01R10C01	1-1-10	Hs~MGC:BC014889.1~uORF:IOH10017	359	36	323
B01R10C02	1-2-10	Hs~MGC:BC014889.1~uORF:IOH10017	356	36	320
B01R10C03	1-3-10	Hs~MGC:BC007009.1~uORF:IOH7191	579	43	536
B01R10C04	1-4-10	Hs~MGC:BC007009.1~uORF:IOH7191	483	45	438
B01R10C05	1-5-10	Hs~Ref:NM_002539.1~uORF:IOH14694	419	40	379
B01R10C06	1-6-10	Hs~Ref:NM_002539.1~uORF:IOH14694	396	41	355
B01R10C07	1-7-10	Hs~MGC:BC012575.1~uORF:IOH12167	364	49	315
B01R10C08	1-8-10	Hs~MGC:BC012575.1~uORF:IOH12167	320	43	277
B01R10C09	1-9-10	Hs~MGC:NM_171998.1~uORF:IOH9931	372	42	330
B01R10C10	1-10-10	Hs~MGC:NM_171998.1~uORF:IOH9931	364	42	322
B01R10C11	1-11-10	GST1	36	34	2
B01R10C12	1-12-10	GST1	106	45	61
B01R10C13	1-13-10	GST2	56	50	6
B01R10C14	1-14-10	GST2	54	50	4
B01R10C15	1-15-10	GST3	56	54	2
B01R10C16	1-16-10	GST3	62	54	8
B01R10C17	1-17-10	GST4	65	51	14
B01R10C18	1-18-10	GST4	66	51	15
B01R10C19	1-19-10	Anti-HumanIgA1~N/A	9503	52	9451
B01R10C20	1-20-10	Anti-HumanIgA1~N/A	9378	51	9327
B01R10C21	1-21-10	Anti-HumanIgA2~N/A	18051	54	17997
B01R10C22	1-22-10	Anti-HumanIgA2~N/A	18543	53	18490
B01R11C01	1-1-11	AlexaAntiMouseAb~N/A	26187	37	26150
B01R11C02	1-2-11	AlexaAntiMouseAb~N/A	27172	37	27135
B01R11C03	1-3-11	MAPKAP~N/A	75	35	40
B01R11C04	1-4-11	MAPKAP~N/A	51	41	10
B01R11C05	1-5-11	Buffer	50	47	3
B01R11C06	1-6-11	Buffer	37	48	-11
B01R11C07	1-7-11	BSA~N/A	9029	37	8992
B01R11C08	1-8-11	BSA~N/A	8723	36	8687
B01R11C09	1-9-11	Anti-HumanIgG1~N/A	1596	34	1562
B01R11C10	1-10-11	Anti-HumanIgG1~N/A	1706	34	1672
B01R11C11	1-11-11	Anti-HumanIgG2~N/A	2952	34	2918
B01R11C12	1-12-11	Anti-HumanIgG2~N/A	3023	42	2981
B01R11C13	1-13-11	Anti-HumanIgG3~N/A	6070	55	6015
B01R11C14	1-14-11	Anti-HumanIgG3~N/A	7060	53	7007
B01R11C15	1-15-11	Anti-HumanIgG4~N/A	12451	53	12398
B01R11C16	1-16-11	Anti-HumanIgG4~N/A	13569	55	13514
B01R11C17	1-17-11	AntiBiotinAb~N/A	13427	53	13374
B01R11C18	1-18-11	AntiBiotinAb~N/A	13181	51	13130
B01R11C19	1-19-11	Buffer	51	54	-3
B01R11C20	1-20-11	Buffer	61	49	12
B01R11C21	1-21-11	Hs~MGC:BC035314.1~uORF:IOH22146	433	50	383
B01R11C22	1-22-11	Hs~MGC:BC035314.1~uORF:IOH22146	376	49	327
B01R12C01	1-1-12	Hs~MGC:BC016754.1~uORF:IOH13535	266	44	222
B01R12C02	1-2-12	Hs~MGC:BC016754.1~uORF:IOH13535	298	42	256
B01R12C03	1-3-12	Hs~MGC:BC020966.1~uORF:IOH10379	457	35	422
B01R12C04	1-4-12	Hs~MGC:BC020966.1~uORF:IOH10379	48	44	4
B01R12C05	1-5-12	Hs~MGC:BC003548.1~uORF:IOH4864	1668	50	1618
B01R12C06	1-6-12	Hs~MGC:BC003548.1~uORF:IOH4864	1517	46	1471
B01R12C07	1-7-12	Hs~MGC:BC023569.1~uORF:IOH27860	2875	43	2832
B01R12C08	1-8-12	Hs~MGC:BC023569.1~uORF:IOH27860	2878	40	2838
B01R12C09	1-9-12	Hs~MGC:BC053373.1~uORF:IOH28997	725	38	687
B01R12C10	1-10-12	Hs~MGC:BC053373.1~uORF:IOH28997	696	37	659
B01R12C11	1-11-12	Hs~MGC:BC042912.1~uORF:IOH28030	526	36	490
B01R12C12	1-12-12	Hs~MGC:BC042912.1~uORF:IOH28030	475	43	432
B01R12C13	1-13-12	Hs~MGC:BC030155.1~uORF:IOH23095	466	61	405
B01R12C14	1-14-12	Hs~MGC:BC030155.1~uORF:IOH23095	870	72	798
B01R12C15	1-15-12	Hs~Ref:NM_139162.2~uORF:IOH12829	97	49	48
